,namePlayer,nameTeam
439,Wes Iwundu,Orlando Magic
440,Melvin Frazier Jr.,Orlando Magic
441,Josh Richardson,Philadelphia 76ers
442,Mike Scott,Philadelphia 76ers
443,Haywood Highsmith,Philadelphia 76ers
444,Zhaire Smith,Philadelphia 76ers
445,Kyle O'Quinn,Philadelphia 76ers
446,James Ennis III,Philadelphia 76ers
447,Tobias Harris,Philadelphia 76ers
448,Norvel Pelle,Philadelphia 76ers
449,Shake Milton,Philadelphia 76ers
450,Raul Neto,Philadelphia 76ers
451,Christ Koumadje,Philadelphia 76ers
452,Joel Embiid,Philadelphia 76ers
453,Matisse Thybulle,Philadelphia 76ers
454,Trey Burke,Dallas Mavericks
455,Ben Simmons,Philadelphia 76ers
456,Furkan Korkmaz,Philadelphia 76ers
457,Marial Shayok,Philadelphia 76ers
458,Isaiah Miles,Philadelphia 76ers
459,Al Horford,Philadelphia 76ers
460,Jonah Bolden,Philadelphia 76ers
461,Jalen Lecque,Phoenix Suns
462,Devin Booker,Phoenix Suns
463,Elie Okobo,Phoenix Suns
464,Kelly Oubre Jr.,Phoenix Suns
465,Jevon Carter,Phoenix Suns
466,Frank Kaminsky,Phoenix Suns
467,Ty Jerome,Phoenix Suns
468,Ricky Rubio,Phoenix Suns
469,Jared Harper,Phoenix Suns
470,Cheick Diallo,Phoenix Suns
471,David Kramer,Phoenix Suns
472,Tyler Johnson,Phoenix Suns
473,Dario Saric,Phoenix Suns
474,Deandre Ayton,Phoenix Suns
475,Cameron Johnson,Phoenix Suns
476,Mikal Bridges,Phoenix Suns
477,Norense Odiase,Phoenix Suns
478,Tariq Owens,Phoenix Suns
479,Aron Baynes,Phoenix Suns
480,Damian Lillard,Portland Trail Blazers
481,Anfernee Simons,Portland Trail Blazers
482,Gary Trent Jr.,Portland Trail Blazers
483,CJ McCollum,Portland Trail Blazers
484,Moses Brown,Portland Trail Blazers
485,Rodney Hood,Portland Trail Blazers
486,Jaylen Hoard,Portland Trail Blazers
487,London Perrantes,Portland Trail Blazers
488,Nassir Little,Portland Trail Blazers
489,Troy Caupain,Portland Trail Blazers
490,Keljin Blevins,Portland Trail Blazers
491,Pau Gasol,Portland Trail Blazers
492,Skal Labissiere,Portland Trail Blazers
493,Hassan Whiteside,Portland Trail Blazers
494,Kent Bazemore,Portland Trail Blazers
495,Jusuf Nurkic,Portland Trail Blazers
496,Zach Collins,Portland Trail Blazers
497,Anthony Tolliver,Portland Trail Blazers
498,Mario Hezonja,Portland Trail Blazers
499,Hollis Thompson,Sacramento Kings
500,Trevor Ariza,Sacramento Kings
501,Yogi Ferrell,Sacramento Kings
502,De'Aaron Fox,Sacramento Kings
503,Kyle Guy,Sacramento Kings
504,Bogdan Bogdanovic,Sacramento Kings
505,Cory Joseph,Sacramento Kings
506,Justin James,Sacramento Kings
507,Dewayne Dedmon,Sacramento Kings
508,Tyler Ulis,Sacramento Kings
509,Harry Giles III,Sacramento Kings
510,Richaun Holmes,Sacramento Kings
511,Buddy Hield,Sacramento Kings
512,Wenyen Gabriel,Sacramento Kings
513,Marvin Bagley III,Sacramento Kings
514,Harrison Barnes,Sacramento Kings
515,Tyler Lydon,Sacramento Kings
516,Caleb Swanigan,Sacramento Kings
517,Nemanja Bjelica,Sacramento Kings
518,Lonnie Walker IV,San Antonio Spurs
519,Keldon Johnson,San Antonio Spurs
520,Derrick White,San Antonio Spurs
521,Dejounte Murray,San Antonio Spurs
522,Chimezie Metu,San Antonio Spurs
523,Patty Mills,San Antonio Spurs
524,DeMar DeRozan,San Antonio Spurs
525,Bryn Forbes,San Antonio Spurs
526,LaMarcus Aldridge,San Antonio Spurs
527,Drew Eubanks,San Antonio Spurs
528,Quinndary Weatherspoon,San Antonio Spurs
529,Dedric Lawson,San Antonio Spurs
530,Marco Belinelli,San Antonio Spurs
531,Luka Samanic,San Antonio Spurs
532,Rudy Gay,San Antonio Spurs
533,Jakob Poeltl,San Antonio Spurs
534,Daulton Hommes,San Antonio Spurs
535,Trey Lyles,San Antonio Spurs
536,DeMarre Carroll,San Antonio Spurs
537,Terence Davis,Toronto Raptors
538,Cameron Payne,Toronto Raptors
539,OG Anunoby,Toronto Raptors
540,Rondae Hollis-Jefferson,Toronto Raptors
541,Stanley Johnson,Toronto Raptors
542,Kyle Lowry,Toronto Raptors
543,Serge Ibaka,Toronto Raptors
544,Devin Robinson,Toronto Raptors
545,Oshae Brissett,Toronto Raptors
546,Malcolm Miller,Toronto Raptors
547,Isaiah Taylor,Toronto Raptors
548,Dewan Hernandez,Toronto Raptors
549,Matt Thomas,Toronto Raptors
550,Patrick McCaw,Toronto Raptors
551,Fred VanVleet,Toronto Raptors
552,Norman Powell,Toronto Raptors
553,Chris Boucher,Toronto Raptors
554,Marc Gasol,Toronto Raptors
555,Pascal Siakam,Toronto Raptors
556,Sagaba Konate,Toronto Raptors
557,Kyle Collinsworth,Utah Jazz
558,Nigel Williams-Goss,Utah Jazz
559,Joe Ingles,Utah Jazz
560,Justin Wright-Foreman,Utah Jazz
561,Jarrell Brantley,Utah Jazz
562,Emmanuel Mudiay,Utah Jazz
563,Mike Conley,Utah Jazz
564,Dante Exum,Utah Jazz
565,Tony Bradley,Utah Jazz
566,Stanton Kidd,Utah Jazz
567,Juwan Morgan,Utah Jazz
568,Ed Davis,Utah Jazz
569,Jeff Green,Houston Rockets
570,Royce O'Neale,Utah Jazz
571,Miye Oni,Utah Jazz
572,Rudy Gobert,Utah Jazz
573,Georges Niang,Utah Jazz
574,William Howard,Utah Jazz
575,Bojan Bogdanovic,Utah Jazz
576,Donovan Mitchell,Utah Jazz
577,Admiral Schofield,Washington Wizards
578,John Wall,Washington Wizards
579,Bradley Beal,Washington Wizards
580,Isaiah Thomas,Washington Wizards
581,Justin Robinson,Washington Wizards
582,Troy Brown Jr.,Washington Wizards
583,Justin Anderson,Washington Wizards
584,Rui Hachimura,Washington Wizards
585,Chris Chiozza,Washington Wizards
586,Thomas Bryant,Washington Wizards
587,Ish Smith,Washington Wizards
588,Phil Booth,Washington Wizards
589,Isaac Bonga,Washington Wizards
590,Moritz Wagner,Washington Wizards
591,Garrison Mathews,Washington Wizards
592,Ian Mahinmi,Washington Wizards
593,Jemerrio Jones,Washington Wizards
594,CJ Miles,Washington Wizards
595,Davis Bertans,Washington Wizards
596,Jordan McRae,Washington Wizards
